Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
SerialNumber: DCB535485BF5-6D2D,,,,,,,,,
time,ax,ay,az,gx,gy,gz,mx,my,mz
,,,,,,,,,
06-26-2025 19:33:54.273,-0.341356,-0.013908,0.975268,0.735,0.455,0.84,0.366,0.18,-0.069
06-26-2025 19:33:54.313,-0.340136,-0.005368,0.997716,0,-0.07,-0.875,0.3615,0.1815,-0.072
06-26-2025 19:33:54.353,-0.326228,-0.04758,0.971608,-0.315,-0.035,-0.175,0.3645,0.186,-0.075
06-26-2025 19:33:54.393,-0.3355,-0.006344,0.982344,-1.435,-0.035,1.365,0.3675,0.1785,-0.0735
06-26-2025 19:33:54.433,-0.340868,-0.032696,0.979172,-1.365,-0.28,-0.42,0.3645,0.1845,-0.0825
06-26-2025 19:33:54.473,-0.344528,-0.042944,0.98088,-1.295,-0.14,0.525,0.369,0.1785,-0.0675
06-26-2025 19:33:54.513,-0.33916,-0.037088,0.976244,-1.715,-0.035,0.945,0.3705,0.177,-0.0765
06-26-2025 19:33:54.553,-0.344772,-0.032452,0.985516,-1.05,-0.07,0.14,0.3645,0.1785,-0.072
06-26-2025 19:33:54.593,-0.335256,-0.03782,0.978684,-0.875,-0.035,0.28,0.3705,0.1845,-0.078
06-26-2025 19:33:54.633,-0.331352,-0.05124,0.990396,-0.42,0,0.035,0.366,0.177,-0.0765
06-26-2025 19:33:54.673,-0.340624,-0.034404,0.980392,-0.315,-0.07,0.42,0.3615,0.1815,-0.0765
06-26-2025 19:33:54.713,-0.3416,-0.03904,0.98332,0.56,0.07,-0.35,0.369,0.186,-0.0735
06-26-2025 19:33:54.753,-0.34038,-0.04392,0.981612,0.525,0.07,-0.56,0.3675,0.186,-0.0765
06-26-2025 19:33:54.793,-0.33794,-0.049776,0.984296,0.98,0.14,0.175,0.366,0.177,-0.072
06-26-2025 19:33:54.833,-0.342576,-0.027328,0.984296,1.085,0.175,-0.315,0.3585,0.183,-0.072
06-26-2025 19:33:54.873,-0.335744,-0.036356,0.981612,1.645,0.245,-0.84,0.3795,0.1815,-0.072
06-26-2025 19:33:54.913,-0.335744,-0.031476,0.982588,1.47,0.14,-0.28,0.3615,0.177,-0.0765
06-26-2025 19:33:54.953,-0.340136,-0.026352,0.973316,1.365,0.21,-0.35,0.372,0.1845,-0.0675
06-26-2025 19:33:54.993,-0.356484,-0.0183,0.991128,1.4,0.175,-0.42,0.3705,0.1905,-0.0735
06-26-2025 19:33:55.033,-0.338672,-0.0305,0.983564,0.98,0.14,-0.525,0.366,0.1815,-0.081
06-26-2025 19:33:55.073,-0.345504,-0.002684,0.979416,-0.105,0.07,0.35,0.366,0.183,-0.0765
06-26-2025 19:33:55.113,-0.352092,-0.022448,0.982588,-0.42,0.035,0.21,0.36,0.1875,-0.0825
06-26-2025 19:33:55.153,-0.324764,-0.027572,0.97722,-1.295,-0.035,0,0.3585,0.1815,-0.075
06-26-2025 19:33:55.193,-0.338916,-0.0305,0.988444,-1.75,-0.385,1.19,0.3615,0.1785,-0.0765
06-26-2025 19:33:55.233,-0.370636,0.006588,0.986004,-2.835,-0.49,0.875,0.372,0.183,-0.078
06-26-2025 19:33:55.273,-0.348432,-0.027572,0.980636,-3.5,-0.42,0.805,0.372,0.1785,-0.0765
06-26-2025 19:33:55.313,-0.365756,-0.01342,0.973072,-4.935,-0.595,1.925,0.3645,0.177,-0.069
06-26-2025 19:33:55.353,-0.356728,-0.040992,0.981856,-5.915,-0.91,1.645,0.3645,0.192,-0.063
06-26-2025 19:33:55.393,-0.327448,0.030012,1.04554,-6.055,-1.435,1.47,0.369,0.1815,-0.069
06-26-2025 19:33:55.433,-0.254004,-0.242536,1.072868,-3.955,-0.735,-0.175,0.3705,0.1845,-0.072
06-26-2025 19:33:55.473,-0.288408,0.11102,0.929396,-11.165,-0.21,6.335,0.366,0.183,-0.0765
06-26-2025 19:33:55.513,-0.304268,-0.192272,1.037976,-2.31,-1.015,1.645,0.3735,0.189,-0.069
06-26-2025 19:33:55.553,-0.339648,-0.009028,0.97478,-2.38,-0.77,-2.03,0.3675,0.1965,-0.0735
06-26-2025 19:33:55.593,-0.353312,-0.109556,0.97478,-0.665,-0.875,-1.82,0.369,0.186,-0.0735
06-26-2025 19:33:55.633,-0.399428,-0.02318,1.03578,-0.315,-0.07,2.345,0.36,0.192,-0.0675
06-26-2025 19:33:55.673,-0.318176,-0.081008,0.944524,1.365,1.015,-1.015,0.3795,0.1815,-0.06
06-26-2025 19:33:55.713,-0.332816,-0.045628,1.02236,0.385,0.175,-0.98,0.36,0.1935,-0.0675
06-26-2025 19:33:55.753,-0.255956,-0.084912,0.983808,0.56,-0.42,-2.555,0.3735,0.1875,-0.078
06-26-2025 19:33:55.793,-0.23668,-0.144692,0.944524,-6.93,-1.33,-3.22,0.363,0.1875,-0.0675
06-26-2025 19:33:55.833,-0.333304,0.10614,0.979904,-16.135,-1.68,-3.01,0.366,0.1935,-0.063
06-26-2025 19:33:55.873,-0.3477,-0.24888,1.074332,4.34,-0.98,0.805,0.3615,0.1965,-0.069
06-26-2025 19:33:55.913,-0.410408,-0.01098,0.94428,-6.09,-2.345,7.91,0.3645,0.201,-0.0705
06-26-2025 19:33:55.953,-0.448228,-0.113948,0.896212,-4.55,-0.805,-2.73,0.363,0.195,-0.0645
06-26-2025 19:33:55.993,-0.512644,-0.02562,1.044076,-8.96,0.63,-0.84,0.366,0.195,-0.069
06-26-2025 19:33:56.033,-0.363804,-0.115656,0.957944,-4.725,1.855,5.075,0.366,0.195,-0.0645
06-26-2025 19:33:56.073,-0.672464,-0.289384,0.518988,-6.265,-0.7,2.66,0.3645,0.2025,-0.0675
06-26-2025 19:33:56.113,-0.805932,-0.144448,1.408368,3.605,-1.75,-9.555,0.3615,0.2085,-0.0735
06-26-2025 19:33:56.153,-0.225456,-0.033916,0.427976,-3.185,8.68,-9.345,0.36,0.204,-0.069
06-26-2025 19:33:56.193,-0.382348,-0.443348,1.068964,3.43,-1.89,-5.215,0.3675,0.1995,-0.057
06-26-2025 19:33:56.233,-0.425536,-0.087352,1.094828,-8.82,-6.615,12.005,0.3585,0.198,-0.069
06-26-2025 19:33:56.273,0.260104,-0.041236,0.791536,-4.62,2.52,11.795,0.354,0.204,-0.06
06-26-2025 19:33:56.313,0.1159,0.399672,1.03944,-1.47,-0.385,0.735,0.363,0.198,-0.0645
06-26-2025 19:33:56.353,0.050508,-0.227896,1.173884,5.145,-0.175,-7,0.3585,0.2085,-0.057
06-26-2025 19:33:56.393,-0.15494,0.03294,1.040416,-4.935,-3.29,6.965,0.363,0.2025,-0.054
06-26-2025 19:33:56.433,-0.366732,0.033184,0.923784,-12.005,-1.015,6.195,0.354,0.207,-0.057
06-26-2025 19:33:56.473,-0.618052,-0.232044,0.953552,-1.645,-2.87,-1.4,0.357,0.201,-0.0525
06-26-2025 19:33:56.513,-0.511912,-0.234484,1.006012,-5.775,0.98,1.015,0.3555,0.2055,-0.0645
06-26-2025 19:33:56.553,-0.393328,-0.163968,1.04554,-2.8,0.665,4.34,0.351,0.2025,-0.057
06-26-2025 19:33:56.593,-0.271816,-0.089548,0.967216,3.64,1.61,-1.855,0.3585,0.2085,-0.06
06-26-2025 19:33:56.633,-0.183732,-0.18788,0.967948,3.57,-0.14,-4.62,0.3705,0.2145,-0.0555
06-26-2025 19:33:56.673,-0.281576,-0.012932,1.01748,2.66,-0.385,1.085,0.3585,0.204,-0.057
